file	path	english	machine_santali	reviewed_by	corrected_santali
src/scenarios/gas-confined-space.json	$.nodes[2].onTimeout.consequence.text	You never looked at the permit board.	ᱟᱢ ᱛᱮᱦᱮᱸᱧ ᱯᱟᱨᱢᱤᱴ ᱵᱳᱨᱰ ᱵᱟᱭ ᱦᱮᱨᱠᱮᱫᱟ ᱾		
src/scenarios/gas-confined-space.json	$.nodes[3].prompt.text	There is no permit on the board for this sump. Do not enter. Report this to your supervisor and stop work.	ᱱᱚᱶᱟ ᱥᱚᱢᱯ ᱞᱟᱹᱜᱤᱫ ᱵᱳᱨᱰ ᱨᱮ ᱚᱠᱛᱚ ᱯᱟᱨᱢᱤᱴ ᱵᱟᱝᱟ ᱾ ᱟᱛ ᱵᱟᱭ ᱡᱚᱛᱚ ᱢᱮ ᱾ ᱟᱢᱟᱜ ᱥᱩᱯᱚᱨᱵᱟᱭᱡᱚᱨ ᱠᱷᱚᱵᱚᱨ ᱮᱢ ᱢᱮ ᱟᱨ ᱠᱟᱹᱢᱤ ᱛᱟᱸᱦᱮᱸᱱ ᱢᱮ ᱾		
src/scenarios/gas-confined-space.json	$.nodes[3].expect[0].label	Report to the supervisor and stop work	ᱥᱩᱯᱚᱨᱵᱟᱭᱡᱚᱨ ᱠᱷᱚᱵᱚᱨ ᱮᱢ ᱢᱮ ᱟᱨ ᱠᱟᱹᱢᱤ ᱛᱟᱸᱦᱮᱸᱱ ᱢᱮ		
src/scenarios/gas-confined-space.json	$.nodes[3].errors[0].consequence.text	You saw there was no permit and went in anyway.	ᱟᱢ ᱧᱮᱞ ᱠᱮᱫᱟ ᱡᱮ ᱚᱠᱛᱚ ᱯᱟᱨᱢᱤᱴ ᱵᱟᱝᱟ, ᱛᱤᱱᱟᱹᱜ ᱨᱮ ᱟᱛ ᱡᱚᱛᱚ ᱠᱮᱫᱟ ᱾		
src/scenarios/gas-confined-space.json	$.nodes[3].onTimeout.consequence.text	You stood there. A missing permit is something you are required to report, not wait out.	ᱟᱢ ᱚᱱᱰᱮ ᱛᱤᱝᱩ ᱠᱮᱫᱟ ᱾ ᱵᱟᱝ ᱢᱮᱱᱟᱜ ᱯᱟᱨᱢᱤᱴ ᱫᱚ ᱠᱷᱚᱵᱚᱨ ᱮᱢ ᱞᱟᱹᱜᱤᱫ ᱡᱤᱱᱤᱥ ᱠᱟᱱᱟ, ᱛᱟᱸᱦᱮᱸᱱ ᱞᱟᱹᱜᱤᱫ ᱵᱟᱝᱟ ᱾		
src/scenarios/gas-confined-space.json	$.nodes[4].prompt.text	There is a permit on the board. But look at the date — it was issued for yesterday's shift, so it is no longer valid. Report this to your supervisor and stop work.	ᱵᱳᱨᱰ ᱨᱮ ᱯᱟᱨᱢᱤᱴ ᱢᱮᱱᱟᱜᱼᱟ ᱾ ᱢᱮᱱᱠᱷᱟᱱ ᱛᱟᱨᱤᱠᱷ ᱦᱮᱨ ᱢᱮ — ᱩᱱᱤ ᱦᱚᱞᱟ ᱥᱤᱯᱷᱴ ᱞᱟᱹᱜᱤᱫ ᱮᱢ ᱟᱠᱟᱱᱟ, ᱚᱱᱟ ᱛᱮ ᱱᱤᱛᱚᱜ ᱵᱟᱭ ᱪᱟᱞᱟᱜᱼᱟ ᱾ ᱟᱢᱟᱜ ᱥᱩᱯᱚᱨᱵᱟᱭᱡᱚᱨ ᱠᱷᱚᱵᱚᱨ ᱮᱢ ᱢᱮ ᱟᱨ ᱠᱟᱹᱢᱤ ᱛᱟᱸᱦᱮᱸᱱ ᱢᱮ ᱾		
src/scenarios/gas-confined-space.json	$.nodes[4].expect[0].label	Flag the expired permit and stop work	ᱢᱟᱲᱟᱝ ᱯᱟᱨᱢᱤᱴ ᱨᱮᱭᱟᱜ ᱠᱷᱚᱵᱚᱨ ᱮᱢ ᱢᱮ ᱟᱨ ᱠᱟᱹᱢᱤ ᱛᱟᱸᱦᱮᱸᱱ ᱢᱮ		
src/scenarios/gas-confined-space.json	$.nodes[4].errors[0].consequence.text	An expired permit is not a permit. The atmosphere it certified was yesterday's.	ᱢᱟᱲᱟᱝ ᱯᱟᱨᱢᱤᱴ ᱫᱚ ᱯᱟᱨᱢᱤᱴ ᱵᱟᱝᱟ ᱾ ᱡᱟᱦᱟᱸ ᱦᱟᱣᱟ ᱨᱮᱭᱟᱜ ᱥᱟᱠᱷᱭᱟᱛ ᱮᱢᱟᱱᱟ, ᱩᱱᱤ ᱫᱚ ᱦᱚᱞᱟ ᱛᱤᱸᱜᱩᱟᱜ ᱠᱟᱱᱟᱭ ᱾		
src/scenarios/gas-confined-space.json	$.nodes[4].onTimeout.consequence.text	You let an expired permit stand.	ᱟᱢ ᱢᱟᱲᱟᱝ ᱯᱟᱨᱢᱤᱴ ᱛᱟᱸᱦᱮᱸᱱ ᱮᱫᱟᱭ ᱾		
src/scenarios/gas-confined-space.json	$.nodes[5].prompt.text	Before anyone goes near the opening, test the air from outside. First, use the gas detector — switch it on and lower it into the opening. Then look at the detector screen and read the result.	ᱚᱠᱚᱭᱚᱜ ᱠᱷᱩᱡᱽ ᱥᱮᱴᱮᱨ ᱵᱟᱭ ᱡᱚᱛᱚ ᱛᱮᱭᱟᱨ, ᱵᱟᱦᱨᱮ ᱠᱷᱚᱱ ᱦᱟᱣᱟ ᱠᱩᱞᱤ ᱢᱮ ᱾ ᱯᱩᱭᱞᱩ, ᱜᱮᱥ ᱰᱤᱴᱮᱠᱴᱚᱨ ᱵᱮᱵᱷᱟᱨ ᱢᱮ — ᱚᱱ ᱢᱮ ᱟᱨ ᱠᱷᱩᱡᱽ ᱨᱮ ᱚᱲᱚᱠ ᱢᱮ ᱾ ᱚᱱᱟ ᱛᱟᱭᱚᱢ ᱰᱤᱴᱮᱠᱴᱚᱨ ᱨᱮᱭᱟᱜ ᱥᱠᱨᱤᱱ ᱦᱮᱨ ᱢᱮ ᱟᱨ ᱨᱤᱰᱤᱝ ᱯᱟᱲᱦᱟᱣ ᱢᱮ ᱾		
src/scenarios/gas-confined-space.json	$.nodes[5].expect[0].label	Switch on and lower the gas detector	ᱜᱮᱥ ᱰᱤᱴᱮᱠᱴᱚᱨ ᱚᱱ ᱢᱮ ᱟᱨ ᱞᱟᱦᱟ ᱨᱮ ᱚᱲᱚᱠ ᱢᱮ		
src/scenarios/gas-confined-space.json	$.nodes[5].expect[1].label	Read the four-gas readout	ᱟᱠᱟᱛ-ᱜᱮᱥ ᱨᱤᱰᱤᱝ ᱯᱟᱲᱦᱟᱣ ᱢᱮ		
src/scenarios/gas-confined-space.json	$.nodes[5].errors[0].consequence.text	You went in without testing. The sump held {{gas}} and only {{o2}} percent oxygen. You had about two breaths.	ᱟᱢ ᱠᱩᱞᱤ ᱵᱟᱭ ᱠᱟᱛᱮ ᱟᱛ ᱡᱚᱛᱚ ᱠᱮᱫᱟ ᱾ ᱥᱚᱢᱯ ᱨᱮ {{gas}} ᱟᱨ ᱴᱷᱮᱱ {{o2}} ᱯᱚᱨᱥᱮᱸᱴ ᱳᱠᱥᱤᱡᱮᱱ ᱛᱟᱸᱦᱮᱸᱸᱠᱟᱱᱟ ᱾ ᱟᱢ ᱡᱚᱛᱟᱠᱟᱛᱮ ᱵᱟᱨ ᱥᱟᱶᱥ ᱴᱟᱲᱟᱝ ᱛᱟᱭᱚᱢ ᱛᱟᱦᱮᱸᱱ ᱠᱮᱫᱟᱢ ᱾		
src/scenarios/gas-confined-space.json	$.nodes[5].errors[1].consequence.text	You leaned over the opening and sniffed. Hydrogen sulphide deadens your sense of smell within seconds — by the time it stops smelling, it is at its most dangerous. Your nose is not an instrument.	ᱟᱢ ᱠᱷᱩᱡᱽ ᱪᱮᱛᱟᱱ ᱩᱠᱩ ᱠᱮᱫᱟ ᱟᱨ ᱥᱩᱝᱜᱩᱫ ᱠᱮᱫᱟ ᱾ ᱦᱟᱭᱰᱨᱳᱡᱮᱱ ᱥᱟᱞᱯᱷᱟᱭᱰ ᱫᱚ ᱠᱚᱸ ᱴᱟᱲᱟᱝ ᱨᱮ ᱟᱢᱟᱜ ᱥᱩᱝᱜᱩᱫ ᱥᱚᱠᱛᱤ ᱵᱚᱸᱫ ᱮᱫᱟᱭ — ᱚᱠᱛᱚ ᱵᱟᱭ ᱥᱩᱝᱜᱩᱫᱟᱢ, ᱚᱠᱛᱚ ᱫᱚ ᱴᱷᱤᱠ ᱚᱱᱟ ᱚᱠᱛᱚ ᱫᱚ ᱡᱟᱹᱥᱛᱤ ᱵᱤᱯᱚᱫ ᱠᱟᱱᱟ ᱾ ᱟᱢᱟᱜ ᱢᱩᱪᱟᱹᱫ ᱫᱚ ᱡᱚᱛᱚᱱ ᱵᱟᱝᱟ ᱾		
src/scenarios/gas-confined-space.json	$.nodes[5].onTimeout.consequence.text	The atmosphere was never tested. Nobody in this yard knows what is in that sump.	ᱦᱟᱣᱟ ᱫᱚ ᱛᱮᱦᱮᱸᱧ ᱵᱟᱭ ᱠᱩᱞᱤ ᱠᱟᱱᱟ ᱾ ᱱᱚᱶᱟ ᱭᱟᱨᱰ ᱨᱮ ᱚᱠᱚᱭ ᱵᱟᱭ ᱵᱟᱰᱟᱭᱟ ᱡᱟᱦᱟᱸ ᱚᱱᱟ ᱥᱚᱢᱯ ᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱾		
src/scenarios/gas-confined-space.json	$.nodes[6].prompt.text	The detector reads {{o2}} percent oxygen — below the safe limit — and {{gas}} is present. This sump cannot be entered as it stands.	ᱰᱤᱴᱮᱠᱴᱚᱨ ᱨᱮ {{o2}} ᱯᱚᱨᱥᱮᱸᱴ ᱳᱠᱥᱤᱡᱮᱱ ᱠᱚᱸ — ᱨᱚᱠᱷᱟ ᱥᱤᱢᱟ ᱠᱷᱚᱱ ᱠᱚᱢ — ᱟᱨ {{gas}} ᱢᱮᱱᱟᱜᱼᱟ ᱾ ᱱᱚᱶᱟ ᱥᱚᱢᱯ ᱨᱮ ᱱᱤᱛᱚᱜ ᱵᱟᱭ ᱡᱚᱛᱚ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾		
src/scenarios/gas-confined-space.json	$.nodes[7].prompt.text	The air is not safe yet. First, use the ventilation blower — switch it on. Then wait for it to clear the air. After that, use the gas detector again — the old reading no longer counts.	ᱦᱟᱣᱟ ᱫᱚ ᱱᱤᱛᱚᱜ ᱵᱟᱭ ᱨᱚᱠᱷᱟ ᱠᱟᱱᱟ ᱾ ᱯᱩᱭᱞᱩ, ᱦᱟᱣᱟ ᱵᱞᱚᱣᱟᱨ ᱵᱮᱵᱷᱟᱨ ᱢᱮ — ᱚᱱ ᱢᱮ ᱾ ᱚᱱᱟ ᱛᱟᱭᱚᱢ ᱦᱟᱣᱟ ᱯᱷᱟᱨᱪᱟ ᱦᱩᱭ ᱛᱟᱦᱮᱸᱱ ᱢᱮ ᱾ ᱚᱱᱟ ᱞᱟᱦᱟ, ᱫᱚᱦᱲᱟ ᱜᱮᱥ ᱰᱤᱴᱮᱠᱴᱚᱨ ᱵᱮᱵᱷᱟᱨ ᱢᱮ — ᱢᱟᱨᱟᱝ ᱨᱤᱰᱤᱝ ᱫᱚ ᱱᱤᱛᱚᱜ ᱵᱟᱭ ᱴᱷᱤᱠ ᱠᱟᱱᱟ ᱾		
src/scenarios/gas-confined-space.json	$.nodes[7].expect[0].label	Start the ventilation blower	ᱦᱟᱣᱟ ᱵᱞᱚᱣᱟᱨ ᱮᱛᱦᱚᱵ ᱢᱮ		
src/scenarios/gas-confined-space.json	$.nodes[7].expect[1].label	Let it purge	ᱦᱟᱣᱟ ᱯᱷᱟᱨᱪᱟ ᱦᱩᱭ ᱛᱟᱦᱮᱸᱱ ᱢᱮ		
src/scenarios/gas-confined-space.json	$.nodes[7].expect[2].label	Re-test the atmosphere	ᱫᱚᱦᱲᱟ ᱦᱟᱣᱟ ᱠᱩᱞᱤ ᱢᱮ		
src/scenarios/gas-confined-space.json	$.nodes[7].errors[0].consequence.text	You knew the reading and went in anyway.	ᱟᱢ ᱨᱤᱰᱤᱝ ᱵᱟᱰᱟᱭ ᱠᱮᱫᱟᱢ, ᱛᱤᱱᱟᱹᱜ ᱨᱮ ᱟᱛ ᱡᱚᱛᱚ ᱠᱮᱫᱟᱢ ᱾		
src/scenarios/gas-confined-space.json	$.nodes[7].onTimeout.consequence.text	The space was never ventilated.	ᱡᱟᱭᱜᱟ ᱨᱮ ᱛᱮᱦᱮᱸᱧ ᱵᱟᱭ ᱦᱟᱣᱟ ᱪᱟᱞᱟᱣ ᱮᱱᱟ ᱾		
src/scenarios/gas-confined-space.json	$.nodes[8].prompt.text	The air is better now, but the space is still not fully safe. Wear the breathing apparatus. Wear the full-body harness. Then attach the retrieval line to the tripod.	ᱦᱟᱣᱟ ᱫᱚ ᱱᱤᱛᱚᱜ ᱵᱟᱲᱛᱤ ᱠᱟᱱᱟ, ᱢᱮᱱᱠᱷᱟᱱ ᱡᱟᱭᱜᱟ ᱫᱚ ᱛᱮᱦᱮᱸᱧ ᱯᱚᱨᱟ ᱨᱚᱠᱷᱟ ᱵᱟᱭ ᱟᱠᱟᱱᱟ ᱾ ᱥᱟᱶᱥ ᱡᱚᱛᱚᱱ ᱮᱰᱟ ᱢᱮ ᱾ ᱚᱲᱟᱜ-ᱦᱳᱨ ᱦᱟᱨᱱᱮᱥ ᱮᱰᱟ ᱢᱮ ᱾ ᱚᱱᱟ ᱛᱟᱭᱚᱢ ᱟᱹᱰᱤ ᱠᱚᱨᱮᱭᱟᱜ ᱞᱟᱭᱤᱱ ᱴᱨᱟᱭᱯᱚᱰ ᱨᱮ ᱛᱟᱸᱛᱤ ᱢᱮ ᱾		
src/scenarios/gas-confined-space.json	$.nodes[8].expect[0].label	Wear the breathing apparatus	ᱥᱟᱶᱥ ᱡᱚᱛᱚᱱ ᱮᱰᱟ ᱢᱮ		
src/scenarios/gas-confined-space.json	$.nodes[8].expect[1].label	Wear the full-body harness	ᱚᱲᱟᱜ-ᱦᱳᱨ ᱦᱟᱨᱱᱮᱥ ᱮᱰᱟ ᱢᱮ		
src/scenarios/gas-confined-space.json	$.nodes[8].expect[2].label	Clip the retrieval line	ᱟᱹᱰᱤ ᱠᱚᱨᱮᱭᱟᱜ ᱞᱟᱭᱤᱱ ᱛᱟᱸᱛᱤ ᱢᱮ		
src/scenarios/gas-confined-space.json	$.nodes[8].errors[0].consequence.text	No breathing set, no line. If anything goes wrong down there, nobody can pull you out.	ᱚᱠᱛᱚ ᱥᱟᱶᱥ ᱡᱚᱛᱚᱱ ᱵᱟᱝ, ᱚᱠᱛᱚ ᱞᱟᱭᱤᱱ ᱵᱟᱝᱟ ᱾ ᱞᱟᱦᱟ ᱨᱮ ᱡᱚᱛᱚ ᱵᱤᱜᱟᱲ ᱛᱟᱦᱮᱸᱱᱠᱷᱟᱱ, ᱚᱠᱚᱭ ᱵᱟᱭ ᱟᱢ ᱡᱟᱨᱣᱟᱭ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾		
src/scenarios/gas-confined-space.json	$.nodes[8].onTimeout.consequence.text	You were still not wearing the set when the window closed.	ᱚᱠᱛᱚ ᱮᱴᱟᱜ ᱠᱟᱱᱟᱜ ᱚᱠᱛᱚ, ᱟᱢ ᱛᱮᱦᱮᱸᱧ ᱥᱟᱶᱥ ᱡᱚᱛᱚᱱ ᱵᱟᱭ ᱮᱰᱟᱭ ᱠᱮᱫᱟᱢ ᱾		
src/scenarios/gas-confined-space.json	$.nodes[9].prompt.text	You cannot go in alone. First, signal the standby person to stand at the opening. Then use the radio to report to the control room that you are going in.	ᱟᱢ ᱟᱰᱤ ᱟᱛ ᱵᱟᱭ ᱡᱚᱛᱚ ᱫᱟᱲᱮᱭᱟᱜᱼᱟᱢ ᱾ ᱯᱩᱭᱞᱩ, ᱥᱴᱮᱸᱰᱵᱟᱭ ᱦᱳᱲ ᱠᱷᱩᱡᱽ ᱨᱮ ᱛᱤᱝᱩ ᱞᱟᱹᱜᱤᱫ ᱥᱮᱱᱚᱛ ᱢᱮ ᱾ ᱚᱱᱟ ᱛᱟᱭᱚᱢ ᱨᱮᱰᱤᱭᱳ ᱛᱮ ᱠᱚᱱᱴᱨᱚᱞ ᱨᱩᱢ ᱠᱷᱚᱵᱚᱨ ᱮᱢ ᱢᱮ ᱡᱮ ᱟᱢ ᱟᱛ ᱡᱚᱛᱚ ᱠᱟᱱᱟᱢ ᱾		
src/scenarios/gas-confined-space.json	$.nodes[9].expect[0].label	Post the standby person	ᱥᱴᱮᱸᱰᱵᱟᱭ ᱦᱳᱲ ᱛᱤᱸᱜᱩ ᱢᱮ		
src/scenarios/gas-confined-space.json	$.nodes[9].expect[1].label	Inform the control room	ᱠᱚᱱᱴᱨᱚᱞ ᱨᱩᱢ ᱠᱷᱚᱵᱚᱨ ᱮᱢ ᱢᱮ		
src/scenarios/gas-confined-space.json	$.nodes[9].errors[0].consequence.text	You went down with nobody at the opening. Whatever happens next, nobody above knows it is happening.	ᱟᱢ ᱚᱰᱚᱠ ᱠᱮᱫᱟᱢ ᱡᱟᱦᱟᱸ ᱠᱷᱩᱡᱽ ᱨᱮ ᱚᱠᱚᱭ ᱵᱟᱝ ᱛᱤᱝᱩ ᱠᱟᱱᱟ ᱾ ᱚᱠᱟ ᱦᱚᱸ ᱦᱩᱭᱩᱜ ᱠᱷᱟᱱ, ᱪᱮᱛᱟᱱ ᱨᱮ ᱚᱠᱚᱭ ᱵᱟᱭ ᱵᱟᱰᱟᱭ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾		
src/scenarios/gas-confined-space.json	$.nodes[9].onTimeout.consequence.text	No standby person was posted.	ᱚᱠᱛᱚ ᱥᱴᱮᱸᱰᱵᱟᱭ ᱦᱳᱲ ᱵᱟᱭ ᱛᱤᱝᱩ ᱮᱱᱟ ᱾		
src/scenarios/gas-confined-space.json	$.nodes[10].prompt.text	You have checked the permit, cleared and re-tested the air, worn your equipment, and posted the standby person. Everything is ready. Now climb into the sump.	ᱟᱢ ᱯᱟᱨᱢᱤᱴ ᱠᱩᱞᱤ ᱠᱮᱫᱟᱢ, ᱦᱟᱣᱟ ᱯᱷᱟᱨᱪᱟ ᱠᱟᱛᱮ ᱫᱚᱦᱲᱟ ᱠᱩᱞᱤ ᱠᱮᱫᱟᱢ, ᱡᱚᱛᱚᱱ ᱮᱰᱟ ᱠᱮᱫᱟᱢ, ᱟᱨ ᱥᱴᱮᱸᱰᱵᱟᱭ ᱦᱳᱲ ᱛᱤᱝᱩ ᱠᱮᱫᱟᱢ ᱾ ᱡᱚᱛᱚ ᱛᱮᱭᱟᱨ ᱠᱟᱱᱟ ᱾ ᱱᱤᱛᱚᱜ ᱥᱚᱢᱯ ᱨᱮ ᱨᱮᱭᱟᱜ ᱢᱮ ᱾		
src/scenarios/gas-confined-space.json	$.nodes[10].expect[0].label	Enter the sump	ᱥᱚᱢᱯ ᱨᱮ ᱨᱮᱭᱟᱜ ᱢᱮ		
src/scenarios/gas-confined-space.json	$.nodes[10].onTimeout.consequence.text	The window for the permit passed while you waited.	ᱟᱢ ᱛᱟᱸᱦᱮᱸᱱ ᱛᱟᱦᱮᱸ ᱠᱟᱛᱮ, ᱯᱟᱨᱢᱤᱴ ᱚᱠᱛᱚ ᱪᱟᱞᱟᱜ ᱮᱱᱟ ᱾		
src/scenarios/gas-confined-space.json	$.nodes[11].prompt.text	Four minutes after you climb in, the blower stops working. Your detector's alarm changes to a constant, unbroken tone. {{gas}} is rising again.	ᱟᱛ ᱡᱚᱛᱚ ᱛᱟᱭᱚᱢ ᱟᱠᱟᱛ ᱢᱤᱱᱤᱴ ᱨᱮ, ᱵᱞᱚᱣᱟᱨ ᱵᱚᱸᱫ ᱦᱩᱭᱮᱱᱟ ᱾ ᱟᱢᱟᱜ ᱰᱤᱴᱮᱠᱴᱚᱨ ᱨᱮᱭᱟᱜ ᱟᱞᱟᱨᱢ ᱫᱚ ᱡᱟᱹᱥᱛᱤ ᱠᱟᱛᱮ ᱩᱬᱩᱬ ᱢᱮᱸᱟ ᱾ {{gas}} ᱫᱚᱦᱲᱟ ᱵᱟᱲᱛᱤ ᱠᱟᱱᱟ ᱾		
src/scenarios/gas-confined-space.json	$.nodes[12].prompt.text	Get out now. Signal the standby person. Then climb out of the sump immediately — do not stop for anything else.	ᱱᱤᱛᱚᱜ ᱚᱰᱚᱠ ᱢᱮ ᱾ ᱥᱴᱮᱸᱰᱵᱟᱭ ᱦᱳᱲ ᱥᱮᱱᱚᱛ ᱢᱮ ᱾ ᱚᱱᱟ ᱛᱟᱭᱚᱢ ᱱᱤᱛᱚᱜ ᱥᱚᱢᱯ ᱠᱷᱚᱱ ᱚᱰᱚᱠ ᱢᱮ — ᱮᱴᱟᱜ ᱡᱤᱱᱤᱥ ᱞᱟᱹᱜᱤᱫ ᱵᱟᱭ ᱛᱤᱝᱩ ᱢᱮ ᱾		
